Datetime,GR_load_actual_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
2015-01-11 00:00:00+00:00,4.4216,0.1802,0.0876
2015-01-11 01:00:00+00:00,4.2328,0.1802,0.0876
2015-01-11 02:00:00+00:00,4.1068,0.1802,0.0876
2015-01-11 03:00:00+00:00,4.0552,0.1802,0.0876
2015-01-11 04:00:00+00:00,4.1688,0.1802,0.0876
2015-01-11 05:00:00+00:00,4.4032,0.1802,0.0876
2015-01-11 06:00:00+00:00,4.6686,0.1802,0.0876
2015-01-11 07:00:00+00:00,4.964,0.1802,0.0876
2015-01-11 08:00:00+00:00,5.4216,0.1802,0.0876
2015-01-11 09:00:00+00:00,5.7086,0.1802,0.0876
2015-01-11 10:00:00+00:00,5.8478,0.1802,0.0876
2015-01-11 11:00:00+00:00,5.8004,0.1802,0.0876
2015-01-11 12:00:00+00:00,5.4582,0.1802,0.0876
2015-01-11 13:00:00+00:00,5.2734,0.1802,0.0876
2015-01-11 14:00:00+00:00,5.2432,0.1802,0.0876
2015-01-11 15:00:00+00:00,5.4044,0.1802,0.0876
2015-01-11 16:00:00+00:00,6.1868,0.1802,0.0876
2015-01-11 17:00:00+00:00,6.4682,0.1802,0.0876
2015-01-11 18:00:00+00:00,6.5922,0.1802,0.0876
2015-01-11 19:00:00+00:00,6.3562,0.1802,0.0876
2015-01-11 20:00:00+00:00,6.057,0.1802,0.0876
2015-01-11 21:00:00+00:00,5.584,0.1802,0.0876
2015-01-11 22:00:00+00:00,5.0538,0.1802,0.0876
2015-01-11 23:00:00+00:00,4.5874,0.1802,0.0876
2015-01-12 00:00:00+00:00,4.2676,0.1802,0.0876
2015-01-12 01:00:00+00:00,4.1092,0.1802,0.0876
2015-01-12 02:00:00+00:00,4.0918,0.1802,0.0876
2015-01-12 03:00:00+00:00,4.1822,0.1802,0.0876
2015-01-12 04:00:00+00:00,4.6216,0.1802,0.0876
2015-01-12 05:00:00+00:00,5.8764,0.1802,0.0876
2015-01-12 06:00:00+00:00,7.2408,0.1802,0.0876
2015-01-12 07:00:00+00:00,8.1666,0.1802,0.0876
2015-01-12 08:00:00+00:00,8.496,0.1802,0.0876
2015-01-12 09:00:00+00:00,8.4932,0.1802,0.0876
2015-01-12 10:00:00+00:00,8.4914,0.1802,0.0876
2015-01-12 11:00:00+00:00,7.9782,0.1802,0.0876
2015-01-12 12:00:00+00:00,7.9078,0.1802,0.0876
2015-01-12 13:00:00+00:00,8.05,0.1802,0.0876
2015-01-12 14:00:00+00:00,7.991,0.1802,0.0876
2015-01-12 15:00:00+00:00,8.192,0.1802,0.0876
2015-01-12 16:00:00+00:00,8.8326,0.1802,0.0876
2015-01-12 17:00:00+00:00,8.7974,0.1802,0.0876
2015-01-12 18:00:00+00:00,8.5494,0.1802,0.0876
2015-01-12 19:00:00+00:00,8.0878,0.1802,0.0876
