DATE,HOUR,ENERGY(MWh)
20200608,7,147.8508136
20200608,8,330.5386623
20200608,9,698.6839598
20200608,10,1099.361017
20200608,11,1446.257258
20200608,12,1694.724534
20200608,13,1824.099603
20200608,14,1784.855795
20200608,15,1592.588241
20200608,16,1357.470508
20200608,17,1214.307207
20200608,18,956.2425209
20200608,19,594.3648157
20200608,20,297.9532854
20200608,21,138.0974137
20200608,22,118.0838986
20200608,23,123.4920615
20200608,24,124.5552394
20200609,1,125.6855334
20200609,2,121.1885122
20200609,3,119.4013272
20200609,4,115.2320493
20200609,5,114.2484903
20200609,6,112.5572811
20200609,7,139.9261998
20200609,8,310.2040256
20200609,9,632.4708959
20200609,10,1021.344558
20200609,11,1369.749728
20200609,12,1579.188288
20200609,13,1704.428845
20200609,14,1701.338182
20200609,15,1611.767871
20200609,16,1475.086147
20200609,17,1320.999222
20200609,18,968.178137
20200609,19,599.4105933
20200609,20,292.0173911
20200609,21,144.1471224
20200609,22,118.7421311
20200609,23,118.1170916
20200609,24,114.9748522
20200610,1,114.3889296
20200610,2,115.144989
20200610,3,114.3368445
20200610,4,113.7858616
20200610,5,111.3357485
20200610,6,109.6935267
20200610,7,141.8757651
20200610,8,324.8382503
20200610,9,709.943514
20200610,10,1180.154444
20200610,11,1554.813361
20200610,12,1815.484604
20200610,13,1953.964644
20200610,14,1977.779939
20200610,15,1915.206735
20200610,16,1759.822229
20200610,17,1501.145024
20200610,18,1061.023905
20200610,19,693.9072491
20200610,20,336.4766297
20200610,21,183.4967681
20200610,22,164.3938281
20200610,23,165.341789
20200610,24,159.2409467
20200611,1,168.630691
20200611,2,148.8779321
20200611,3,141.1691489
20200611,4,140.5681256
20200611,5,145.9869195
20200611,6,142.1910595
20200611,7,173.417948
20200611,8,351.8787497
20200611,9,742.1083152
20200611,10,1170.402388
20200611,11,1493.694341
20200611,12,1693.360092
20200611,13,1756.09711
20200611,14,1748.746006
20200611,15,1774.769681
20200611,16,1721.775164
20200611,17,1492.139828
20200611,18,1164.469462
20200611,19,762.3569216
20200611,20,369.1777097
20200611,21,193.6133056
20200611,22,167.3228609
20200611,23,155.8695222
20200611,24,148.4630091
20200612,1,148.9570525
20200612,2,151.6091508
20200612,3,144.3485073
20200612,4,148.0706775
20200612,5,151.1553728
20200612,6,150.4344503
20200612,7,184.6293684
20200612,8,364.8689541
20200612,9,811.2293248
20200612,10,1281.473995
20200612,11,1643.130853
20200612,12,1865.757996
20200612,13,1920.857376
20200612,14,1880.896605
20200612,15,1807.903131
20200612,16,1677.191124
20200612,17,1406.970678
20200612,18,1065.962289
20200612,19,700.9914694
20200612,20,350.7106616
20200612,21,185.48555
20200612,22,154.4280793
20200612,23,152.0244745
20200612,24,154.0569113
20200613,1,151.421777
20200613,2,151.6326415
20200613,3,157.59306
20200613,4,159.3954461
20200613,5,162.095598
20200613,6,165.7198177
20200613,7,186.1259707
20200613,8,347.4191895
20200613,9,709.5861064
20200613,10,1110.041216
20200613,11,1537.680522
20200613,12,1819.0524
20200613,13,1920.147039
20200613,14,1845.337933
20200613,15,1747.387463
20200613,16,1584.493046
20200613,17,1328.730428
20200613,18,1056.970213
20200613,19,708.0716997
20200613,20,376.1373826
20200613,21,192.1421211
20200613,22,161.0463655
20200613,23,150.2377844
20200613,24,144.5433709
20200614,1,156.0402904
20200614,2,163.4833128
20200614,3,168.415442
20200614,4,169.6936214
20200614,5,172.5500701
20200614,6,172.1684682
20200614,7,193.4123422
20200614,8,367.7332439
20200614,9,754.2201218
20200614,10,1176.516058
20200614,11,1524.175714
20200614,12,1795.805956
20200614,13,1943.453818
20200614,14,1974.681175
20200614,15,1906.461001
20200614,16,1745.988769
20200614,17,1465.585613
20200614,18,1126.740183
20200614,19,691.4860672
20200614,20,317.45291
20200614,21,157.5535681
20200614,22,134.7003008
20200614,23,135.8993085
20200614,24,139.0435182
20200615,1,153.9763741
20200615,2,139.351921
20200615,3,137.5259854
20200615,4,144.3236441
20200615,5,138.596037
20200615,6,142.816938
20200615,7,170.4885822
20200615,8,362.3007835
20200615,9,724.2868538
20200615,10,1108.690786
20200615,11,1404.096223
20200615,12,1624.996733
20200615,13,1709.124196
20200615,14,1788.27349
20200615,15,1760.095892
20200615,16,1687.202113
20200615,17,1430.315989
20200615,18,1134.633299
20200615,19,740.3683008
20200615,20,348.7316391
20200615,21,176.6743616
20200615,22,158.8820464
20200615,23,154.0611545
20200615,24,158.5577644
20200616,1,151.930562
20200616,2,139.9911319
20200616,3,137.8778972
20200616,4,146.6664394
20200616,5,147.4211003
20200616,6,143.2172063
20200616,7,166.7026222
20200616,8,336.1885985
20200616,9,740.7288386
