,Diesel Gen,PV Park
224,1.73986,1.92671
225,1.5,2.75177
226,1.5,3.00473
227,1.5,3.03783
228,1.5,2.65248
229,1.77358,1.73522
230,2.88365,0.626478
231,3.60977,0.0307329
232,3.96521,0.0
233,3.9602,0.0
234,3.85954,0.0
235,2.97215,0.0
236,3.40113,0.0
237,3.19988,0.0
238,2.23165,0.0
239,1.98683,0.0
240,2.64199,0.0
241,2.50489,0.0
242,2.40375,0.0
243,1.69173,0.0
244,2.42821,0.0
245,2.44818,0.0520095
246,2.0633,0.527187
247,1.5,1.80851
248,1.5,2.7896
249,1.5,3.28132
250,1.5,3.47754
251,1.5,3.24586
252,1.5,2.64303
253,1.5,1.57683
254,2.43282,0.539007
255,3.09759,0.0520095
256,2.82892,0.0
257,2.87054,0.0
258,3.53219,0.0
259,3.4148,0.0
260,3.16628,0.0
261,2.93453,0.0
262,1.95609,0.0
263,1.69941,0.0
264,1.68049,0.0
265,1.59706,0.0
266,2.205,0.0
267,1.55827,0.0
268,2.48866,0.0
269,2.93457,0.0212766
270,3.07893,0.130024
271,3.00097,0.513002
272,2.4604,1.14421
273,1.98146,1.68794
274,1.72037,2.01655
275,1.66699,2.06147
276,1.72047,1.8747
277,2.44044,1.23641
278,3.22518,0.484634
279,3.75776,0.0567376
280,4.07737,0.0
281,4.09053,0.0
282,4.06172,0.0
283,3.82432,0.0
284,2.77131,0.0
285,3.19417,0.0
286,2.22023,0.0
287,2.60103,0.0
288,1.89467,0.0
289,1.81205,0.0
290,2.4396,0.0
291,2.47403,0.0
292,2.03953,0.0
293,3.19645,0.0496454
294,3.03489,0.468085
295,1.95862,1.81324
296,1.5,2.99527
297,1.5,3.50827
298,1.5,3.68085
299,1.5,3.38534
300,1.5,3.07801
301,1.57013,2.17021
302,2.9377,0.791962
303,3.8011,0.0732861
304,4.21969,0.0
305,4.2339,0.0
306,3.49052,0.0
307,3.18509,0.0
308,3.50907,0.0
309,3.2425,0.0
310,2.64039,0.0
311,2.6053,0.0
