,load 1
1268,3.0988200000000004
1269,2.922075
1270,2.6300749999999997
1271,2.39148
1272,2.379395
1273,2.26504
1274,2.1871
1275,2.1805
1276,2.242175
1277,2.32307
1278,2.5705
1279,2.944605
1280,3.222185
1281,3.2856
1282,3.2590149999999998
1283,3.08754
1284,2.779835
1285,2.8619
1286,2.880735
1287,2.825895
1288,3.1806900000000002
1289,3.432655
1290,3.476985
1291,3.3525
1292,3.09896
1293,2.87195
1294,2.5658049999999997
1295,2.34406
1296,2.345245
1297,2.266465
1298,2.207365
1299,2.2708049999999997
1300,2.5283
1301,2.955505
1302,3.190465
1303,3.441085
1304,3.501275
1305,3.509
1306,3.5136700000000003
1307,3.503005
1308,3.35215
1309,3.398265
1310,3.33625
1311,3.279375
1312,3.642925
1313,3.87413
1314,3.869885
1315,3.606645
1316,3.246955
1317,2.97967
1318,2.687405
1319,2.446645
1320,2.415735
1321,2.33652
1322,2.287515
1323,2.307135
1324,2.5387399999999998
1325,2.955775
1326,3.189075
1327,3.40116
1328,3.43404
1329,3.4227350000000003
1330,3.4276500000000003
1331,3.3781149999999998
1332,3.224065
1333,3.2344250000000003
1334,3.17315
1335,3.118265
1336,3.491615
1337,3.748875
1338,3.77332
1339,3.5816
1340,3.24515
1341,2.98425
1342,2.68519
1343,2.44363
1344,2.4339899999999997
1345,2.362795
1346,2.317055
1347,2.36078
1348,2.5836550000000003
1349,2.95854
1350,3.13756
1351,3.33398
1352,3.37542
1353,3.38408
1354,3.454425
1355,3.548655
1356,3.485185
1357,3.5658600000000003
1358,3.55982
1359,3.5476750000000004
1360,3.783065
1361,3.934605
1362,3.894565
1363,3.60972
1364,3.267935
1365,3.0648400000000002
1366,2.75619
1367,2.498665
1368,2.4782800000000003
1369,2.411715
1370,2.35906
1371,2.37264
1372,2.582325
1373,2.9762150000000003
1374,3.19365
1375,3.419785
1376,3.48428
1377,3.525845
1378,3.553285
1379,3.58437
1380,3.56756
1381,3.6784299999999996
1382,3.612665
1383,3.534585
1384,3.747085
1385,3.868205
1386,3.81718
1387,3.599275
1388,3.310655
1389,3.11248
1390,2.8243400000000003
1391,2.58719
1392,2.5379899999999997
1393,2.43435
1394,2.3567
1395,2.365955
1396,2.42895
1397,2.557255
1398,2.833295
1399,3.0881149999999997
1400,3.250075
1401,3.268575
1402,3.3672600000000004
1403,3.38188
1404,3.2105
1405,3.3218
1406,3.252005
1407,3.1743200000000003
1408,3.46033
1409,3.685565
1410,3.6235500000000003
1411,3.4079699999999997
1412,3.1445
1413,2.9544699999999997
1414,2.689305
1415,2.44868
1416,2.40581
1417,2.28091
1418,2.2026
1419,2.183105
1420,2.222775
1421,2.30794
1422,2.458435
1423,2.63222
1424,2.8220500000000004
1425,3.0075
1426,3.10541
1427,3.03607
1428,2.7918000000000003
1429,2.809545
1430,2.759455
1431,2.70489
1432,3.079345
1433,3.37388
1434,3.411095
1435,3.30123
1436,3.071985
1437,2.87331
1438,2.573885
1439,2.325995
1440,2.301
1441,2.2321350000000004
1442,2.1827550000000002
1443,2.23884
1444,2.492795
1445,2.9065100000000004
1446,3.101295
1447,3.25159
1448,3.27176
1449,3.2586950000000003
1450,3.220165
1451,3.1676599999999997
1452,3.0574250000000003
1453,3.068525
1454,3.011355
1455,2.984855
1456,3.2947550000000003
1457,3.603165
1458,3.62396
1459,3.427145
1460,3.1394
1461,2.895315
1462,2.599115
1463,2.376035
1464,2.33794
1465,2.2695100000000004
1466,2.2363449999999996
1467,2.289545
1468,2.5161
1469,2.874435
1470,3.03441
1471,3.203515
1472,3.1782649999999997
1473,3.163355
1474,3.182295
1475,3.13875
1476,2.9817600000000004
1477,2.981585
1478,2.89214
1479,2.8676500000000003
1480,3.210575
1481,3.5463400000000003
1482,3.57642
1483,3.38188
1484,3.1052600000000004
1485,2.846285
1486,2.561165
1487,2.3395
1488,2.321395
1489,2.247305
1490,2.19379
1491,2.253745
1492,2.46244
1493,2.7855
1494,2.9754050000000003
1495,3.16398
1496,3.17573
1497,3.158405
1498,3.142835
1499,3.131685
1500,3.00631
1501,3.0214299999999996
1502,2.952105
1503,2.924815
1504,3.273915
