,PV Park
566,0.15839243498817968
567,0.0070921985815602835
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.002364066193853428
582,0.29550827423167847
583,1.215130023640662
584,2.0921985815602837
585,2.4184397163120566
586,2.517730496453901
587,2.368794326241135
588,1.9101654846335698
589,1.3569739952718676
590,0.5886524822695035
591,0.0591016548463357
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.016548463356973995
606,0.35224586288416077
607,1.0070921985815602
608,1.4633569739952719
609,1.6453900709219857
610,1.5697399527186762
611,1.2127659574468086
612,0.7612293144208038
613,0.4397163120567376
614,0.14184397163120568
615,0.028368794326241134
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.02127659574468085
630,0.07328605200945626
631,0.30023640661938533
632,0.640661938534279
633,0.9621749408983451
634,1.070921985815603
635,1.2576832151300237
636,1.1300236406619386
637,0.6572104018912529
638,0.32860520094562645
639,0.06382978723404255
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.018912529550827423
654,0.3735224586288416
655,1.0780141843971631
656,1.5957446808510638
657,1.950354609929078
658,2.0354609929078014
659,1.8628841607565012
660,1.4278959810874705
661,0.735224586288416
662,0.22695035460992907
663,0.016548463356973995
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.018912529550827423
678,0.10874704491725769
679,0.5106382978723404
680,0.8463356973995272
681,1.0921985815602837
682,1.1394799054373523
683,1.1205673758865249
684,0.8912529550827423
685,0.607565011820331
686,0.2860520094562648
687,0.04491725768321513
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0070921985815602835
702,0.17257683215130024
703,0.640661938534279
704,1.1725768321513002
705,1.6643026004728132
706,1.846335697399527
707,1.5981087470449173
708,1.0780141843971631
709,0.6335697399527187
710,0.2789598108747045
