,H2
872,2.92993
873,2.92993
874,2.92993
875,2.92993
876,3.19929
877,3.435
878,3.435
879,3.435
880,2.29
881,1.145
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.219178
896,0.956003
897,2.01641
898,3.10605
899,3.99267
900,4.63948
901,4.82031
902,4.82031
903,4.82031
904,4.82031
905,4.82031
906,4.82031
907,4.82031
908,4.82031
909,4.82031
910,4.82031
911,4.82031
912,4.82031
913,4.82031
914,4.82031
915,4.82031
916,4.82031
917,4.82031
918,4.82031
919,4.84348
920,5.01658
921,5.37946
922,5.80809
923,6.23606
924,6.57743
925,6.57743
926,6.57743
927,6.57743
928,6.57743
929,6.57743
930,6.57743
931,6.57743
932,5.725
933,5.725
934,5.725
935,5.725
936,4.58
937,4.58
938,4.58
939,4.58
940,4.58
941,4.58
942,4.58
943,4.58
944,4.58
945,4.58
946,4.58
947,4.58
948,4.58
949,4.58
950,4.58
951,4.58
952,3.435
953,2.29
954,2.29
955,1.145
956,1.145
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0100478
970,0.0100478
971,0.0100478
972,0.0100478
973,0.0100478
974,0.0100478
975,0.0100478
976,0.0100478
977,0.0100478
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.25969
994,0.71771
995,1.20831
996,1.5435
997,1.5435
998,1.5435
999,1.5435
1000,1.5435
1001,1.5435
1002,1.5435
1003,1.5435
1004,1.145
1005,1.145
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.347984
1018,0.963993
1019,1.54864
1020,1.97728
1021,1.97728
1022,1.97728
1023,1.97728
1024,1.97728
1025,1.97728
1026,1.97728
1027,1.97728
1028,1.97728
1029,1.97728
1030,1.145
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.262085
1041,0.818938
1042,1.47854
1043,2.0197
1044,2.34242
1045,2.34242
1046,2.29
1047,1.145
1048,1.145
1049,1.145
