,Line
1097,-3.68099
1098,-3.67961
1099,-3.60106
1100,-3.3419
1101,-3.12066
1102,-2.77576
1103,-2.48433
1104,-2.47761
1105,-2.3945
1106,-2.34804
1107,-2.40061
1108,-2.6715
1109,-3.04599
1110,-2.29996
1111,-1.53483
1112,-1.5
1113,-1.5
1114,-1.5
1115,-1.5
1116,-1.5
1117,-1.5
1118,-2.34228
1119,-3.29375
1120,-3.91374
1121,-4.07437
1122,-4.05771
1123,-3.82185
1124,-3.4555
1125,-3.20018
1126,-2.85408
1127,-2.57638
1128,-2.55617
1129,-2.45434
1130,-1.69104
1131,-2.40793
1132,-2.65556
1133,-3.07683
1134,-2.87412
1135,-2.46148
1136,-2.00915
1137,-1.81119
1138,-1.83012
1139,-2.03321
1140,-2.27752
1141,-2.80075
1142,-3.2815
1143,-3.74164
1144,-4.1774
1145,-4.31306
1146,-4.24425
1147,-3.94306
1148,-3.5795
1149,-3.29765
1150,-2.90348
1151,-2.6261
1152,-2.61699
1153,-2.53501
1154,-2.47454
1155,-2.52244
1156,-2.78492
1157,-3.22614
1158,-2.80885
1159,-2.01092
1160,-1.5
1161,-1.5
1162,-1.5
1163,-1.5
1164,-1.5
1165,-1.5
1166,-2.0673
1167,-3.29425
1168,-3.46927
1169,-4.3709
1170,-4.37056
1171,-3.43844
1172,-3.0484
1173,-2.77439
1174,-3.0543
1175,-2.0628
1176,-2.01697
1177,-1.92218
1178,-1.88674
1179,-1.90288
1180,-2.19343
1181,-3.25737
1182,-2.52889
1183,-1.5
1184,-1.5
1185,-1.5
1186,-1.5
1187,-1.5
1188,-1.5
1189,-1.5
1190,-1.81109
1191,-3.18508
1192,-4.13893
1193,-3.69237
1194,-3.62544
1195,-4.06267
1196,-3.37879
1197,-2.76056
1198,-3.0538
1199,-2.08151
1200,-2.72982
1201,-1.946
1202,-2.57028
1203,-2.6281
1204,-2.9045
1205,-2.54883
1206,-2.26985
1207,-1.5
1208,-1.5
1209,-1.5
1210,-1.5
1211,-1.5
1212,-1.5
1213,-1.5
1214,-1.61403
1215,-2.97628
1216,-3.92121
1217,-4.15053
1218,-4.138
1219,-3.1715
1220,-3.53213
1221,-3.33004
1222,-3.02154
1223,-2.74421
1224,-2.70579
1225,-2.582
1226,-2.52413
1227,-2.54028
1228,-2.62854
1229,-1.94713
1230,-1.72691
1231,-1.5
1232,-1.5
1233,-1.5
1234,-1.5
1235,-1.5
1236,-1.5
1237,-1.5
1238,-1.5957
1239,-2.74044
1240,-3.5797
1241,-3.81463
1242,-3.75072
1243,-3.5676
1244,-3.31964
1245,-3.09358
1246,-2.77495
1247,-2.529
1248,-2.49325
1249,-2.3792
1250,-2.28632
1251,-2.27282
1252,-2.29403
1253,-2.30749
1254,-2.22747
1255,-2.16576
1256,-2.2633
1257,-2.55877
1258,-2.8425
1259,-2.82942
1260,-2.75603
1261,-2.97359
1262,-3.09887
1263,-3.09052
1264,-3.32525
1265,-3.43417
1266,-3.4029
1267,-3.26262
1268,-3.09882
1269,-2.92207
1270,-2.63008
1271,-2.39148
1272,-2.3794
1273,-2.26504
1274,-2.1871
1275,-2.1805
1276,-2.24218
1277,-2.30416
1278,-2.40502
1279,-2.5569
1280,-2.59334
1281,-2.33761
1282,-2.20937
1283,-2.0308
1284,-1.90986
1285,-2.16214
1286,-2.4292
1287,-2.69351
1288,-3.18069
1289,-3.43266
1290,-3.47698
1291,-3.3525
1292,-2.41196
1293,-2.72708
1294,-1.87881
1295,-2.34406
1296,-2.34524
