,Diesel,Solar,Hydrogen
339,2.52603,-2.526025,0.0
340,2.75346,-2.7534650000000003,0.0
341,3.22642,-3.22641687,0.0
342,2.9842,-2.9842009999999997,0.0
343,1.83049,-1.8304899999999997,0.0
344,1.5,-1.5000009999999997,2.0000000000575113e-07
345,1.5,-1.5000049999999998,2.9999999999752447e-06
346,1.5,-1.5,0.0
347,1.5,-1.4999950000000004,-5.000000000032756e-06
348,1.5,-1.5000049999999996,1.999999999946489e-06
349,1.5,-1.5000040000000001,2.999999999808711e-07
350,2.53107,-2.531072,0.0
351,3.58831,-3.5883108999999997,0.0
352,4.048,-4.048,0.0
353,4.07651,-4.076505,0.0
354,4.03083,-4.03083,0.0
355,3.78346,-3.78346,0.0
356,2.8075,-2.8075,0.0
357,2.54196,-2.541955,0.0
358,2.92787,-2.927875,0.0
359,2.66174,-2.661735,0.0
360,2.63984,-2.63984,0.0
361,2.55079,-2.55079,0.0
362,2.4965,-2.496505,0.0
363,2.53712,-2.5371149999999996,0.0
364,2.7889,-2.7889,0.0
365,3.23391,-3.23391374,0.0
366,2.87789,-2.8778900000000003,0.0
367,1.68868,-1.6886799999999997,0.0
368,1.5,-1.4999980000000002,9.999999994736442e-08
369,1.5,-1.499995,-4.000000000115023e-06
370,1.5,-1.5,-2.000000000279556e-06
371,1.5,-1.5,-2.220446049250313e-16
372,1.5,-1.5,9.999999999177334e-07
373,1.5,-1.5000029999999995,9.999999997511999e-08
374,2.58455,-2.584551,0.0
375,3.5613,-3.5612968,0.0
376,4.03613,-4.036135,0.0
377,4.06229,-4.062295,0.0
378,4.01375,-4.013755,0.0
379,3.7458,-3.7458,0.0
380,3.45762,-3.4576149999999997,0.0
381,3.22938,-3.229375,0.0
382,2.9821,-2.9821050000000002,0.0
383,2.72989,-2.7298899999999997,0.0
384,2.01324,-2.01324,0.0
385,2.60389,-2.60389,0.0
386,2.52075,-2.5207550000000003,0.0
387,2.51873,-2.518735,0.0
388,2.62568,-2.62568,0.0
389,2.79511,-2.79511093,0.0
390,2.59262,-2.592616,0.0
391,1.64163,-1.6416250000000001,0.0
392,1.5,-1.5000050000000003,-1.1102230246251565e-16
393,1.5,-1.499995,-2.0000000000575113e-06
394,1.5,-1.5,-2.9999999999752447e-06
395,1.5,-1.5,-2.0000000000575113e-06
396,1.5,-1.4999999999999998,-1.0000000000287557e-06
397,1.5,-1.500003,1.0000000000287557e-07
398,2.48855,-2.488549,0.0
399,3.39824,-3.3982377000000006,0.0
400,3.84702,-3.847025,0.0
401,3.87587,-3.87587,0.0
402,3.80351,-3.803515,0.0
403,3.58081,-3.58081,0.0
404,3.32346,-3.323455,0.0
405,3.13697,-3.13697,0.0
406,2.88011,-2.880115,0.0
407,2.62256,-2.62256,0.0
408,2.58616,-2.58616,0.0
409,2.47632,-2.4763200000000003,0.0
410,2.38612,-2.3861149999999998,0.0
