,Diesel,Solar,Hydrogen
702,500.0,500.0,270.0
703,500.0,500.0,270.0
704,500.0,500.0,270.0
705,500.0,500.0,270.0
706,500.0,500.0,270.0
707,500.0,500.0,270.0
708,500.0,500.0,270.0
709,500.0,500.0,270.0
710,500.0,500.0,270.0
711,500.0,500.0,270.0
712,500.0,500.0,270.0
713,500.0,500.0,270.0
714,500.0,500.0,270.0
715,500.0,500.0,270.0
716,500.0,500.0,270.0
717,500.0,500.0,270.0
718,500.0,500.0,270.0
719,500.0,500.0,270.0
720,500.0,500.0,270.0
721,500.0,500.0,270.0
722,500.0,500.0,270.0
723,500.0,500.0,270.0
724,500.0,500.0,270.0
725,500.0,500.0,270.0
726,500.0,500.0,270.0
727,500.0,500.0,270.0
728,500.0,500.0,270.0
729,500.0,500.0,270.0
730,500.0,500.0,270.0
731,500.0,500.0,270.0
732,500.0,500.0,270.0
733,500.0,500.0,270.0
734,500.0,500.0,270.0
735,500.0,500.0,270.0
736,500.0,500.0,270.0
737,500.0,500.0,270.0
738,500.0,500.0,270.0
739,500.0,500.0,270.0
740,500.0,500.0,270.0
741,500.0,500.0,270.0
742,500.0,500.0,270.0
743,500.0,500.0,270.0
744,500.0,500.0,270.0
745,500.0,500.0,270.0
746,500.0,500.0,270.0
747,500.0,500.0,270.0
748,500.0,500.0,270.0
749,500.0,500.0,270.0
750,500.0,500.0,270.0
751,500.0,500.0,270.0
752,159.0,159.0,270.0
753,159.0,159.0,270.0
754,159.0,159.0,270.0
755,159.0,159.0,270.0
756,159.0,159.0,270.0
757,159.0,159.0,270.0
758,500.0,500.0,270.0
759,500.0,500.0,270.0
760,500.0,500.0,270.0
761,500.0,500.0,270.0
762,500.0,500.0,270.0
763,500.0,500.0,270.0
764,500.0,500.0,270.0
765,500.0,500.0,270.0
766,500.0,500.0,270.0
767,500.0,500.0,270.0
768,500.0,500.0,270.0
769,500.0,500.0,270.0
770,500.0,500.0,270.0
771,500.0,500.0,270.0
772,500.0,500.0,270.0
773,500.0,500.0,270.0
774,500.0,500.0,270.0
775,500.0,500.0,270.0
776,159.0,159.0,270.0
777,159.0,159.0,270.0
778,159.0,159.0,270.0
779,159.0,159.0,270.0
780,500.0,500.0,270.0
781,500.0,500.0,270.0
782,500.0,500.0,270.0
783,500.0,500.0,270.0
784,500.0,500.0,270.0
785,500.0,500.0,270.0
786,500.0,500.0,270.0
787,500.0,500.0,270.0
788,500.0,500.0,270.0
789,500.0,500.0,270.0
790,500.0,500.0,270.0
791,500.0,500.0,270.0
792,500.0,500.0,270.0
793,500.0,500.0,270.0
794,500.0,500.0,270.0
795,500.0,500.0,270.0
796,500.0,500.0,270.0
797,500.0,500.0,270.0
798,500.0,500.0,270.0
799,159.0,159.0,270.0
800,159.0,159.0,270.0
801,159.0,159.0,270.0
802,159.0,159.0,270.0
803,159.0,159.0,270.0
804,159.0,159.0,270.0
805,159.0,159.0,270.0
